%time,field
1673961823145407967,-8.881784197e-14
1673961823165171990,-8.881784197e-14
1673961823186676788,-8.881784197e-14
1673961823208557767,-8.881784197e-14
1673961823225694763,-8.881784197e-14
1673961823247954664,-8.881784197e-14
1673961823269403965,-8.881784197e-14
1673961823285495267,-8.881784197e-14
1673961823317051077,-8.881784197e-14
1673961823325182237,-8.881784197e-14
1673961823345921727,-8.881784197e-14
1673961823366367880,-8.881784197e-14
1673961823391160499,-8.881784197e-14
1673961823407296735,-8.881784197e-14
1673961823426257100,-8.881784197e-14
1673961823454250024,-8.881784197e-14
1673961823465612050,-8.881784197e-14
1673961823485730678,-8.881784197e-14
1673961823510704110,-8.881784197e-14
1673961823525383212,-8.881784197e-14
1673961823545914444,-8.881784197e-14
1673961823565386919,-8.881784197e-14
1673961823586078345,-8.881784197e-14
1673961823609925301,-8.881784197e-14
1673961823634645604,-8.881784197e-14
1673961823648107218,-8.881784197e-14
1673961823667771128,-8.881784197e-14
1673961823686275137,-8.881784197e-14
1673961823706991731,-8.881784197e-14
1673961823725438346,-8.881784197e-14
1673961823745444428,-8.881784197e-14
1673961823768419959,-8.881784197e-14
1673961823794354570,-8.881784197e-14
1673961823805375681,-8.881784197e-14
1673961823825686575,-8.881784197e-14
1673961823845369922,-8.881784197e-14
1673961823884918808,-8.881784197e-14
1673961823886903829,-8.881784197e-14
1673961823915922197,-8.881784197e-14
1673961823925504385,-8.881784197e-14
1673961823963245188,-8.881784197e-14
1673961823965861855,-8.881784197e-14
1673961823993669679,-8.881784197e-14
1673961824006342927,-8.881784197e-14
1673961824025875545,-8.881784197e-14
1673961824045585207,-8.881784197e-14
1673961824066710042,-8.881784197e-14
1673961824089034653,-1.7763568394e-13
1673961824112226409,-0.103096284236
1673961824130718345,-0.206192568471
1673961824145841881,-0.309288852706
1673961824165663718,-0.412385136942
1673961824186630052,-0.515481421177
1673961824205218750,-0.618577705413
1673961824226108518,-0.721673989648
1673961824245455087,-0.824770273884
1673961824269759788,-0.927866558119
1673961824285614136,-1.03096284235
1673961824308263106,-1.0643581574
1673961824325658058,-1.09775347245
1673961824345168330,-1.1311487875
1673961824373353781,-1.16454410255
1673961824385479897,-1.1979394176
1673961824405362033,-1.23133473265
1673961824426041939,-1.26473004769
1673961824445190164,-1.29812536274
1673961824465384935,-1.33152067779
1673961824485213925,-1.36491599284
1673961824505829670,-1.34648006187
1673961824525759130,-1.32804413089
1673961824546325845,-1.30960819992
1673961824565694035,-1.29117226894
1673961824585354938,-1.27273633797
1673961824608038256,-1.25430040699
1673961824626868238,-1.23586447602
1673961824645509953,-1.21742854504
1673961824671847845,-1.19899261407
1673961824690065023,-1.1805566831
1673961824708751867,-1.12815951962
1673961824738515296,-1.07576235614
1673961824746441630,-1.02336519266
1673961824769114016,-0.970968029177
1673961824785763211,-0.918570865697
1673961824812225482,-0.866173702218
1673961824834669411,-0.813776538738
1673961824848134282,-0.761379375258
1673961824872949891,-0.708982211778
1673961824887368974,-0.656585048299
1673961824905949083,-0.588096132141
1673961824926446864,-0.519607215984
1673961824953765946,-0.451118299827
1673961824965874579,-0.38262938367
1673961824987081294,-0.314140467513
1673961825005510814,-0.245651551356
1673961825025405534,-0.177162635199
1673961825046341979,-0.0401848028842
1673961825068849244,0.00035439781688
1673961825087305145,0.040893598518
1673961825105966619,0.081432799219
1673961825126974861,0.12197199992
1673961825146666780,0.162511200621
1673961825165971060,0.203050401322
1673961825206836891,0.243589602023
1673961825206840875,0.284128802724
1673961825226007330,0.324668003425
1673961825247451928,0.365207204127
1673961825271416910,0.403364315466
1673961825286157552,0.441521426805
1673961825305253502,0.479678538145
1673961825326169643,0.517835649484
1673961825345794524,0.555992760823
1673961825369233942,0.594149872163
1673961825388287915,0.632306983502
1673961825405407143,0.670464094842
1673961825425794957,0.708621206181
1673961825449261898,0.74677831752
1673961825467860715,0.772424458267
1673961825485336780,0.798070599013
1673961825506782186,0.82371673976
1673961825526859079,0.849362880506
1673961825545691168,0.900655161998
1673961825571146993,0.909699505883
1673961825590757601,0.918743849767
1673961825605340389,0.927788193652
1673961825632427734,0.936832537536
1673961825647198135,0.945876881421
1673961825666684479,0.954921225305
1673961825689017043,0.96396556919
1673961825705512497,0.973009913074
1673961825736126693,0.982054256959
1673961825749998333,0.991098600843
1673961825770699042,0.984478035333
1673961825785916986,0.977857469822
1673961825805788444,0.971236904312
1673961825831787074,0.964616338801
1673961825845335262,0.95799577329
1673961825897196514,0.95137520778
1673961825897313590,0.944754642269
1673961825909302473,0.938134076759
1673961825926623053,0.931513511248
1673961825951969951,0.924892945738
1673961825966337704,0.90697781789
1673961825992651011,0.889062690043
1673961826006057484,0.871147562195
1673961826025942520,0.853232434348
1673961826053132967,0.817402178653
1673961826078378678,0.815361147604
1673961826089975888,0.813320116556
1673961826107840413,0.811279085508
1673961826128045543,0.809238054459
1673961826158704298,0.807197023411
