%time,field
1673961819787916428,-0.295403055451
1673961819808516577,-0.350872954026
1673961819825326474,-0.408341432696
1673961819852969852,-0.465372748202
1673961819867675988,-0.521966900542
1673961819891463749,-0.578123889716
1673961819905298132,-0.633843715725
1673961819928271643,-0.689126378569
1673961819946822991,-0.743971878247
1673961819966661839,-0.79838021476
1673961819986332741,-0.852351388107
1673961820011726944,-0.905885398289
1673961820025510620,-0.957529840623
1673961820046042593,-1.00583231042
1673961820066281742,-1.0507928077
1673961820087133289,-1.09241133244
1673961820106895328,-1.13068788464
1673961820125493716,-1.16562246432
1673961820147895927,-1.22546570608
1673961820166005548,-1.2506685861
1673961820192584639,-1.27311792946
1673961820208244705,-1.29281373616
1673961820226303281,-1.30975600619
1673961820245301724,-1.32394473957
1673961820266413518,-1.33537993629
1673961820285954130,-1.34406159634
1673961820305657113,-1.34998971974
1673961820326059315,-1.35316430647
1673961820345763701,-1.35358535655
1673961820370931321,-1.35084598841
1673961820386198647,-1.34453932053
1673961820405549309,-1.33466535289
1673961820427376457,-1.3212240855
1673961820445243564,-1.30421551835
1673961820470148013,-1.28363965146
1673961820487288280,-1.25949648481
1673961820505690573,-1.2317860184
1673961820536858548,-1.20050825225
1673961820545476790,-1.16566318634
1673961820565527784,-1.1282053676
1673961820592201458,-1.08908934295
1673961820605971530,-1.04831511239
1673961820630335976,-1.00588267592
1673961820646051118,-0.961792033547
1673961820671046559,-0.916043185262
1673961820685725744,-0.868636131068
1673961820715865117,-0.768847404952
1673961820729615702,-0.715467898882
1673961820746039311,-0.658434518608
1673961820771917889,-0.59774726413
1673961820789042528,-0.533406135447
1673961820805365234,-0.46541113256
1673961820828244175,-0.393762255468
1673961820846971602,-0.318459504171
1673961820868583068,-0.23950287867
1673961820890217113,-0.156892378964
1673961820908546407,-0.0706280050543
1673961820925141909,0.016666135819
1673961820946070346,0.102365936414
1673961820965965996,0.186471396732
1673961820986646275,0.268982516771
1673961821015662024,0.349899296532
1673961821026883108,0.429221736015
1673961821045731953,0.506949835221
1673961821067209741,0.583083594148
1673961821086952045,0.657623012797
1673961821106240969,0.730568091168
1673961821125378859,0.800346258194
1673961821146194536,0.865384942806
1673961821172607800,0.925684145004
1673961821195645774,0.98124386479
1673961821205677803,1.03206410216
1673961821227364367,1.07814485712
1673961821246179480,1.1560879198
1673961821265212597,1.18781352008
1673961821285909528,1.21452622306
1673961821306164013,1.23622602875
1673961821326478324,1.25291293714
1673961821346312281,1.26458694824
1673961821376620965,1.27124806205
1673961821402007179,1.27289627856
1673961821410764339,1.26953159778
1673961821436456270,1.2611540197
1673961821445889104,1.24776354432
1673961821469012862,1.23011415328
1673961821493577664,1.20895982819
1673961821505265887,1.18430056904
1673961821525319087,1.15613637585
1673961821545146243,1.12446724861
1673961821565128171,1.08929318732
1673961821586028498,1.05061419197
1673961821609526797,1.00843026258
1673961821626332355,0.962741399144
1673961821645201919,0.913547601655
1673961821665202991,0.862681543599
1673961821698460313,0.811975898462
1673961821705691642,0.761430666242
1673961821731409436,0.711045846939
1673961821745571737,0.660821440555
1673961821765243480,0.610757447088
1673961821787335612,0.560853866538
1673961821805294124,0.461527944192
1673961821825649012,0.412919589546
1673961821845681143,0.366099622118
1673961821868783125,0.321068041908
1673961821885816294,0.277824848916
